cell_phone_number,first_name,last_name,date_of_birth,sim_activation_date,region,source_system_name
0707848987,Nicole,Ward,1952-09-04,2024-10-21,Pietermaritzburg,VMobile
0708030287,Linda,Mellor,1987-07-16,2024-05-12,eThekwini,BlueMobile
0708162164,Sihawukele,Shoyisa,1956-04-01,2024-08-29,Port Elizabeth,BlueMobile
0708208823,Silondile,Nyawo,NULL,2024-10-21,Cape Town,ArrowMobile
0709050860,Andile,Mangethe,2002-07-30,2024-12-01,Port Elizabeth,VMobile
0709138730,Mlungisi,Ndwandwe,1968-12-03,2023-11-28,Johannesburg,BlueMobile
0709188166,Nozizwe,Mawewe,NULL,2023-08-13,East London,ArrowMobile
0709367729,Carlos,Johnson,1962-01-28,2024-02-02,Johannesburg,VMobile
0709654582,Eric,Collins,1941-01-08,2023-10-25,Kimberley,BlueMobile
0709798813,Thabisa,Mgenge,NULL,2023-09-23,Bloemfontein,ArrowMobile
0710091970,Londiwe,Mabhoko,1940-12-01,2024-05-09,Cape Town,VMobile
0710361466,Ross,Silva,1964-03-23,2024-09-23,East London,BlueMobile
0710816964,Nomcebo,Mntimande,NULL,2023-08-14,Welkom,ArrowMobile
0711214656,Lungile,Shozi,1970-11-09,2023-09-10,Benoni,VMobile
0711312486,Vusumuzi,Maphindela,1974-04-07,2023-09-14,Port Elizabeth,BlueMobile
0711513959,Dumisani,Jobe,NULL,2023-08-28,West Rand,ArrowMobile
0711572067,Mitchell,Clark,1957-10-04,2024-10-04,Polokwane,VMobile
0711688823,Joan,Naylor,NULL,2024-07-18,Klerksdorp,ArrowMobile
0711810165,Thando,Vilakazi,1962-07-01,2024-08-23,Johannesburg,VMobile
0712113164,Ndumiso,Mkhumbuzi,1986-05-17,2023-12-17,Ekurhuleni,BlueMobile
0712305098,William,Wilson,1941-10-10,2024-05-29,Bloemfontein,VMobile
0712385865,Nicole,Potter,1991-11-23,2024-11-23,Pretoria,BlueMobile
0712488797,Amahle,Mdlanyoka,2004-12-01,2024-03-07,Cape Town,BlueMobile
0712755488,Mandla,Ngobisi,1963-06-27,2023-09-07,Johannesburg,BlueMobile
0713173581,Julia,Howard,1944-03-06,2025-05-13,Ekurhuleni,VMobile
0713677185,Simphiwe,Makhoba,NULL,2024-04-17,Polokwane,ArrowMobile
0714005115,Gugu,Gcaleka,1950-05-10,2024-03-29,Nelspruit,VMobile
0714185136,Thuthukile,Mawewe,1996-06-25,2025-04-15,Cape Town,BlueMobile
0714247268,Mandla,Mtuswa,NULL,2025-02-25,George,ArrowMobile
0714271871,Patrick,Ferrell,1975-08-07,2025-04-02,Kimberley,VMobile
0715586306,Sandile,Ndonga,1958-10-07,2024-04-01,Cape Town,BlueMobile
0715983327,Timothy,Davies,2000-04-21,2024-10-06,Pretoria,BlueMobile
0716126226,Dumisani,Musi,NULL,2024-10-07,Thohoyandou,ArrowMobile
0716808757,Guy,Kelly,1973-07-25,2023-11-05,Rustenburg,VMobile
0717286902,John,Ford,1957-12-17,2024-12-31,Ekurhuleni,BlueMobile
0717601695,Jason,Hahn,NULL,2024-10-14,Pretoria,ArrowMobile
0717893653,Simphiwe,Nondlela,2002-12-30,2024-07-11,Soshanguve,VMobile
0718061525,Thembisile,Majola,1966-10-16,2025-06-03,Cape Town,BlueMobile
0718136627,Ashley,Miller,NULL,2025-05-24,Ekurhuleni,ArrowMobile
0718448667,Michael,Cooper,1957-08-04,2023-10-28,Durban,VMobile
0718983643,Gemma,Ferguson,1959-07-17,2025-03-05,Johannesburg,BlueMobile
0719015850,Sihawukele,Nongalo,NULL,2023-12-04,Ekurhuleni,ArrowMobile
0719118275,Nomthandazo,Mbuyise,1940-04-01,2023-11-01,Ekurhuleni,VMobile
0719396045,Nomathalente,Phingoshe,1958-07-20,2023-12-11,Johannesburg,BlueMobile
0719729993,Hannah,Young,1983-05-04,2024-08-28,Johannesburg,VMobile
0719961318,Ndumiso,Dinangwe,1979-08-17,2024-01-23,Ekurhuleni,BlueMobile
0720029924,Mnqo,Hlongwane,1974-07-31,2024-05-28,Cape Town,BlueMobile
0720125760,SimphiweyiNkosi,Sikobi,2002-07-03,2024-06-19,Johannesburg,BlueMobile
0720593040,Sihawukele,Ndawo,1990-05-06,2024-06-18,Johannesburg,BlueMobile
0720714523,Sandra,Sellers,1980-05-07,2024-06-30,Cape Town,BlueMobile
0721198397,Tomy,Warner,1965-06-12,2025-02-06,Klerksdorp,BlueMobile
0721340588,Janice,Hopkins,1968-04-20,2023-12-22,Durban,BlueMobile
0721345908,Nomathalente,Gubhuza,1950-10-18,2024-04-26,Kaapstad,BlueMobile
0722330476,Silondile,Khubisa,1979-10-10,2023-09-05,Johannesburg,BlueMobile
0722745553,Katy,Smith,1985-02-11,2024-05-26,Gqeberha,BlueMobile
0722747624,Lwandile,Msane,1995-07-08,2024-04-20,Ekurhuleni,BlueMobile
0723131974,Lynda,Davison,1954-01-02,2024-07-08,Soshanguve,BlueMobile
0723484978,Mlungisi,Jama,NULL,2023-11-08,Cape Town,ArrowMobile
0723956054,Thuthukile,Nyambose,1976-09-03,2024-08-05,Bloemfontein,VMobile
0724493478,Danielle,Johnson,1958-04-22,2024-02-05,Johannesburg,BlueMobile
0724545371,Zakhele,Mabika,NULL,2024-07-11,Port Elizabeth,ArrowMobile
0724778385,Gugulethu,Hlophe,1961-02-08,2023-08-20,Johannesburg,VMobile
0725138892,Thandazile,Gcaba,1963-02-12,2025-05-08,Durban,BlueMobile
0725463719,Nomy,Ntshingila,1959-09-17,2024-02-15,Durban,BlueMobile
0726147995,Thembekile,Gubhuza,1955-03-04,2024-11-09,Durban,BlueMobile
0726176224,Vanessa,Brooks,1969-05-28,2025-05-28,Kaapstad,BlueMobile
0726606265,Zenzile,Dindi,1961-10-15,2025-03-27,Welkom,BlueMobile
0727246392,Jabulani,Mafulela,NULL,2023-07-20,Newcastle,ArrowMobile
0727400477,Ruth,Griffiths,1990-01-20,2025-03-21,Pretoria,VMobile
0728019757,Nozizwe,Mngwengwe,1976-04-14,2024-09-19,Ekurhuleni,BlueMobile
0728547628,Janw,Williams,1955-06-02,2023-12-05,Springs,BlueMobile
0728744137,Simphiwe,Msamkhulu,1979-08-20,2024-05-04,Cape Town,BlueMobile
0728781369,Antony,Buckley,NULL,2024-06-20,Cape Town,ArrowMobile
0729448431,Bhekizizwe,Mbokazi,1998-03-02,2023-08-04,Pretoria,VMobile
0729603611,Debra,Smith,1977-03-28,2024-03-08,Cape Town,BlueMobile
0729619869,Sibusisiwe,Andile,NULL,2024-12-01,Durban,ArrowMobile
0729675831,Nomagugu,Nkomo,1990-07-02,2024-09-06,West Rand,VMobile
0729733969,S'fiso,Galu,1948-04-06,2024-10-02,Johannesburg,BlueMobile
0729817295,Amahle,Ngobese,NULL,2023-09-04,Ekurhuleni,ArrowMobile
0729817935,Victor,Watts,1992-05-25,2025-04-26,Cape Town,VMobile
0729820192,Anna,Baker,1979-05-16,2024-02-27,Durban,BlueMobile
0730008139,Brian,Thomas,1955-02-06,2023-12-13,East London,BlueMobile
0730210420,Amelia,Oliver,NULL,2024-11-18,Johannesburg,ArrowMobile
0730744349,Joshua,Booth,1991-03-25,2024-05-31,Cape Town,VMobile
0731726871,Charlene,Randall,NULL,2023-08-30,Cape Town,ArrowMobile
0732045020,Mandlakhe,Gotsholo,1994-07-30,2024-03-27,Welkom,VMobile
0732183258,Anna,Baldwin,1987-04-26,2025-02-05,Johannesburg,BlueMobile
0732301840,Jason,Ryan,NULL,2025-04-09,Welkom,ArrowMobile
0732577687,Musa,Jibela,2003-11-26,2024-06-25,Witbank,VMobile
0732960859,Clare,Wilkins,1949-02-03,2024-06-21,Cape Town,BlueMobile
0733128243,Siphesihle,Mnangwe,NULL,2024-01-20,Vereeniging,ArrowMobile
0733191788,Musa,Nodlomo,1999-10-20,2025-06-01,Soshanguve,VMobile
0733195138,Amahle,Magujwa,NULL,2024-03-14,Newcastle,ArrowMobile
0734011187,Nobantu,Duze,1967-07-27,2025-04-02,Krugersdorp,VMobile
0734401930,Douglas,Taylor,1990-04-15,2024-01-09,Johannesburg,BlueMobile
0734512854,Lonw,Ximba,1992-05-25,2025-01-01,East London,BlueMobile
0734580420,Thembekile,Magononde,1993-06-29,2025-01-25,Bloemfontein,BlueMobile
0734719249,Chad,Welch,NULL,2024-06-13,East London,ArrowMobile
0734762586,Mandlakhe,Biyase,1970-10-11,2024-12-25,Durban,VMobile
0734810654,Nomcebo,Ngobisi,2003-08-01,2023-10-11,Johannesburg,BlueMobile
0735045002,Siphesihle,Ngcolosi,NULL,2024-05-27,West Rand,ArrowMobile
0735515302,Simphiwe,Ludonga,1943-01-13,2023-08-11,Rustenburg,VMobile
0735555294,Nhlanhla,Ngazitha,1971-12-08,2024-09-09,Ekurhuleni,BlueMobile
0736463373,Gugu,Mnyandu,NULL,2023-12-26,Durban,ArrowMobile
0736548736,Sandra,Harper,1988-09-23,2023-07-23,Pretoria,VMobile
0736685370,Thabani,Mavela,1965-01-13,2024-05-03,Cape Town,BlueMobile
0736732237,Zinhle,Ndabansele,NULL,2023-10-26,Durban,ArrowMobile
0736988792,Hannah,Marquez,1966-09-29,2024-05-24,West Rand,VMobile
0737391314,Thembile,Mahlinza,1981-01-12,2023-09-26,Rustenburg,BlueMobile
0737674304,Danielle,Sharp,NULL,2024-11-15,Klerksdorp,ArrowMobile
0738031248,Mandla,Gambu,1984-08-03,2023-12-05,Johannesburg,VMobile
0738285947,Katy,Jones,1977-01-02,2024-08-13,Ekurhuleni,BlueMobile
0738312041,Lungile,Nzimande,NULL,2024-05-31,Ekurhuleni,ArrowMobile
0738452446,Mthokozisi,Ximba,1998-12-10,2025-03-08,Pretoria,VMobile
0738718563,Kyle,Brown,NULL,2025-04-28,Cape Town,ArrowMobile
0739126870,Nancy,Baker,1973-08-28,2024-12-19,West Rand,VMobile
0739163904,Marcus,Page,1991-06-11,2025-06-05,Durban,BlueMobile
0739228461,Mcebisi,Dubandlela,NULL,2024-09-28,Durban,ArrowMobile
0739493210,Gregory,Robinson,1997-10-18,2024-01-05,Cape Town,VMobile
0739579306,Thomas,Pierce,1957-08-18,2024-05-24,Springs,BlueMobile
0739590700,Kimberly,Perez,1941-10-10,2024-10-27,Ekurhuleni,BlueMobile
0740027276,Mzamo,Sembathwa,NULL,2025-05-20,Johannesburg,ArrowMobile
0740348711,Olwethu,Mnomiya,1941-05-25,2023-09-25,Durban,VMobile
0740407777,Nkazimulo,Mnyoni,1957-08-04,2024-01-02,Benoni,BlueMobile
0740678513,Rita,Kaur,1954-05-08,2024-12-10,Egoli,BlueMobile
0740715738,Brittany,Johnson,NULL,2024-11-12,Johannesburg,ArrowMobile
0740837531,Chelsea,Jackson,1989-03-17,2023-09-13,Durban,VMobile
0741042905,Nhlanhla,Sibindi,1999-07-14,2023-12-24,Cape Town,BlueMobile
0741562035,Thae,Ngidi,1994-03-09,2023-10-21,Middelburg,BlueMobile
0741797104,Mandla,Njinji,1998-03-28,2023-08-11,Durban,BlueMobile
0742020320,Nothando,Shoyisa,1943-12-04,2025-05-03,Ekurhuleni,BlueMobile
0743282991,Jabulani,Ngazitha,1952-09-25,2025-05-31,Johannesburg,BlueMobile
0743417384,William,Gonzalez,NULL,2023-08-19,Cape Town,ArrowMobile
0743941564,Sibonelo,Ntombela,1968-05-08,2025-01-21,Durban,VMobile
0744036820,Jesse,Garcia,1958-07-05,2025-03-13,Klerksdorp,BlueMobile
0744146237,Guy,Alexander,NULL,2023-12-05,Durban,ArrowMobile
0744810767,Nomalanga,Ndima,2002-08-22,2024-11-13,Pretoria,VMobile
0745481138,Londisizwe,Zikhungwini,1997-04-19,2024-06-05,Polokwane,BlueMobile
0745495609,Thomas,Reed,NULL,2023-08-04,Kimberley,ArrowMobile
0745858892,Nhlanhla,Mzizi,2006-04-08,2024-07-02,Ekurhuleni,VMobile
0746205845,Mthokozisi,Sithole,1992-09-04,2024-08-14,Boksburg,BlueMobile
0746332321,Thandazile,Khathide,NULL,2024-02-23,Ekurhuleni,ArrowMobile
0746545449,Gugu,Mthonti,1981-09-06,2024-05-26,Pretoria,VMobile
0746721111,Sandile,Magononde,1942-01-16,2025-01-28,Springs,BlueMobile
0746984621,Rachael,Pritchard,NULL,2024-04-17,Cape Town,ArrowMobile
0747009358,Teresa,Hurst,1998-03-25,2024-09-14,Cape Town,VMobile
0747092401,Angela,Chapman,1940-01-30,2024-11-04,Cape Town,BlueMobile
0747753873,Njabulo,Ndabezitha,NULL,2025-01-28,Johannesburg,ArrowMobile
0748023717,Sibusisiwe,Mazibuko,1943-06-18,2025-06-13,Vereeniging,VMobile
0748057905,Eric,Smith,1988-09-23,2025-04-02,West Rand,BlueMobile
0748419705,Sibonelo,Mavundla,NULL,2023-07-16,Cape Town,ArrowMobile
0749758825,Nokulunga,Gedeza,2000-10-23,2025-01-11,Johannesburg,VMobile
0749852120,Kelly,Wilkinson,2005-10-23,2023-12-08,Pretoria,BlueMobile
0749895634,Mine,Mondise,1955-06-04,2025-02-16,Johannesburg,BlueMobile
0749951541,Nomagugu,Khabalidaka,1977-02-27,2025-05-15,Johannesburg,BlueMobile
0750383551,Mcebisi,Mshikela,NULL,2025-01-05,Cape Town,ArrowMobile
0750688826,Thabisile,Gabhisa,2000-09-08,2023-09-30,Pretoria,VMobile
0750711986,Njai,Dumisa,1952-01-29,2023-08-05,Egoli,BlueMobile
0750818959,Nomathemba,Mgcaleka,1946-01-04,2024-07-17,Cape Town,BlueMobile
0751166645,Luyanda,Kubheka,NULL,2024-03-22,Port Elizabeth,ArrowMobile
0752176619,Nonjabulo,Bayeni,2004-07-01,2024-11-21,Durban,VMobile
0753079529,Thandeka,Mncube,1988-06-04,2024-04-23,Polokwane,BlueMobile
0753131305,Busisiwe,Nyanda,NULL,2025-02-17,Newcastle,ArrowMobile
0753154430,Mark,Davies,1947-05-22,2023-10-02,Pretoria,VMobile
0753445274,Kathleen,John,1949-12-28,2023-09-17,Ekurhuleni,BlueMobile
0753625790,Chep,Ryan,1983-10-25,2023-11-02,Boksburg,BlueMobile
0753729547,Zinhle,Mzileni,1984-12-22,2024-12-04,Cape Town,BlueMobile
0754088048,Thabani,Jamile,NULL,2024-08-18,Nelspruit,ArrowMobile
0754907568,Bhekisisa,Sokhela,1977-10-16,2024-09-27,Vereeniging,VMobile
0755026696,Zenzele,Njinji,2006-08-20,2025-04-25,Cape Town,BlueMobile
0755709632,Nomathalente,Nhlane,NULL,2025-01-07,Vereeniging,ArrowMobile
0755830723,Trevor,Campos,1998-03-10,2024-07-29,Johannesburg,VMobile
0756114668,Owethu,Mafulela,NULL,2025-05-21,East London,ArrowMobile
0756759873,Mlungisi,Vundla,1958-07-05,2024-10-06,Newcastle,VMobile
0756849299,Nozizwe,Mzizi,2001-03-14,2023-09-13,Bloemfontein,BlueMobile
0757073185,Ryan,Taylor,NULL,2024-09-08,Krugersdorp,ArrowMobile
0757293964,Nobuhle,Mgilija,1952-09-04,2023-08-08,Ekurhuleni,VMobile
0757311186,Thembeka,Mchunu,2007-05-18,2024-02-17,Cape Town,BlueMobile
0758098548,Carole,Matthews,NULL,2025-01-03,Witbank,ArrowMobile
0758159426,Rachel,Hayes,1956-06-17,2024-05-06,West Rand,VMobile
0758622777,Thandiwe,Ndlangamandla,1975-08-02,2025-06-08,West Rand,BlueMobile
0758744686,Teresa,Walsh,NULL,2025-04-29,Cape Town,ArrowMobile
0758744842,Siphesihle,Mjwara,1988-04-25,2024-08-22,Cape Town,VMobile
0758773144,Sihawukele,Vundla,1948-02-24,2023-09-09,Durban,BlueMobile
0758901102,Mthokozisi,Mthethwa,NULL,2024-01-10,Johannesburg,ArrowMobile
0759277187,Sihawukele,Makhanya,2005-10-23,2024-01-05,Ekurhuleni,VMobile
0759434978,Marc,Edwards,1966-09-29,2024-09-10,Pretoria,BlueMobile
0759568476,Kendra,Galloway,1997-10-18,2024-06-30,Vereeniging,VMobile
0759967153,Nonjabulo,Mzileni,1996-05-08,2025-06-08,Ekurhuleni,BlueMobile
0760632550,Thabisa,Mgcaleka,NULL,2025-03-28,Durban,ArrowMobile
0760905385,Nathan,Harris,1950-05-10,2025-03-13,Durban,VMobile
0761164231,Louis,Morris,1976-04-08,2024-08-13,Pretoria,BlueMobile
0761389488,Londisizwe,Ndaba,NULL,2024-07-21,Cape Town,ArrowMobile
0761465695,Gugulethu,Mahlase,1960-08-21,2024-10-06,Cape Town,VMobile
0761477359,Linda,Wolfe,1962-09-29,2024-08-16,Johannesburg,BlueMobile
0761598472,Thabisile,Mdaka,NULL,2023-10-05,Cape Town,ArrowMobile
0761704638,Monica,Evans,1983-01-27,2024-02-03,Cape Town,VMobile
0761935085,Andile,Nowanqa,1959-02-12,2023-11-19,Johannesburg,BlueMobile
0762338119,Melanie,Bell,NULL,2024-07-18,Durban,ArrowMobile
0763355406,Heather,Thompson,1989-03-17,2024-01-15,Port Elizabeth,VMobile
0763379489,Khanyisile,Mpumuza,1954-10-05,2024-08-08,Pretoria,BlueMobile
0763735255,Joshua,Lewis,NULL,2024-01-24,Johannesburg,ArrowMobile
0764031374,Lungile,Siyaya,1953-11-20,2025-06-07,Ekurhuleni,VMobile
0764351821,Zenzile,Mgwaba,1964-05-17,2023-11-26,Welkom,BlueMobile
0764364545,Busisiwe,Mzulwini,NULL,2024-02-07,Cape Town,ArrowMobile
0765030894,Jill,Miah,1981-01-16,2025-06-05,Ekurhuleni,VMobile
0765054595,Nobuhle,Mbembe,1964-10-12,2023-12-22,Ekurhuleni,BlueMobile
0765569160,Mnqw,Dlamane,1994-08-03,2025-03-08,East Rand,BlueMobile
0766307074,Kayleigh,Burns,1983-01-27,2023-07-23,Cape Town,BlueMobile
0766354480,Alexander,Le,NULL,2025-04-13,Krugersdorp,ArrowMobile
0766591547,Thembisile,Lukhele,1943-09-19,2023-09-18,Durban,VMobile
0767240786,Rhys,Davies,1987-05-08,2025-05-04,Cape Town,BlueMobile
0767399287,Dunw,Humphries,1965-05-31,2024-06-16,Vereeniging,BlueMobile
0767578966,Mthokozisi,Myeni,1952-08-17,2024-01-15,Johannesburg,BlueMobile
0767632849,Erica,Mcclain,NULL,2024-09-09,Ekurhuleni,ArrowMobile
0767639036,Thalente,Galu,1993-01-23,2024-12-08,Johannesburg,VMobile
0767768686,Thembile,Nkundlande,1973-12-26,2024-02-08,Benoni,BlueMobile
0767843485,Mohammad,Smith,NULL,2025-02-28,Klerksdorp,ArrowMobile
0767973262,Nonjabulo,Nhlanhlampofu,1968-05-17,2024-05-31,Ekurhuleni,VMobile
0768138021,Jeffrey,Nguyen,1991-11-16,2024-01-09,Johannesburg,BlueMobile
0768158896,Thembisile,Shelembe,1947-08-03,2023-07-22,Cape Town,BlueMobile
0768741126,Jeffery,Wagner,1941-05-25,2024-04-28,Johannesburg,BlueMobile
0769031933,Bhekokwakhe,Mbatha,NULL,2025-06-06,Johannesburg,ArrowMobile
0769640012,Kirsty,May,1945-06-02,2024-12-16,Port Elizabeth,VMobile
0769652162,Linda,Morales,NULL,2024-10-29,Cape Town,ArrowMobile
0770570082,Nomusa,Hlomuka,2004-02-29,2023-09-10,Ekurhuleni,VMobile
0770945460,Thando,Ndlela,NULL,2024-07-27,Durban,ArrowMobile
0770950073,Georgia,Price,1956-06-17,2025-03-06,Johannesburg,VMobile
0770953276,Lwandile,Mhlanga,1989-08-28,2023-07-20,West Rand,BlueMobile
0771177580,Danielle,Rodriguez,NULL,2024-09-07,Cape Town,ArrowMobile
0771192228,Mario,Smith,2002-10-25,2025-01-09,Cape Town,VMobile
0771440865,Ndumiso,Ngidi,1950-03-04,2023-07-24,Vereeniging,BlueMobile
0771477596,Kathryn,Ryan,NULL,2024-06-21,West Rand,ArrowMobile
0771583203,Musa,Sondisa,1999-05-22,2023-10-29,Cape Town,VMobile
0771918275,Nomthandazo,Ngema,1942-08-04,2025-04-16,Durban,BlueMobile
0771920365,Shawn,Flowers,NULL,2024-12-27,East London,ArrowMobile
0772909252,Amahle,Cwalile,1947-10-01,2024-09-11,Johannesburg,VMobile
0774160565,Linda,Shaw,1996-03-09,2024-10-07,Johannesburg,BlueMobile
0774163254,Mcebisi,Khosini,NULL,2025-02-15,Cape Town,ArrowMobile
0774230241,Njabulo,Sikobi,1946-07-26,2024-11-09,Vereeniging,VMobile
0775025294,Brandon,Jones,1947-03-16,2023-11-24,Durban,BlueMobile
0775270396,SimphiweyiNkosi,Dlambula,NULL,2023-07-26,Pretoria,ArrowMobile
0775448067,Silondile,Guliwe,1990-06-29,2024-04-01,Cape Town,VMobile
0775593486,Bhekisisa,Khubisa,1994-07-17,2024-08-09,Vereeniging,BlueMobile
0775640687,Thando,Mavundla,NULL,2024-05-05,Port Elizabeth,ArrowMobile
0775957924,Amanda,Martinez,1984-06-27,2023-10-27,Ekurhuleni,VMobile
0776010419,Sheila,Mitchell,1986-07-15,2024-07-21,Johannesburg,BlueMobile
0776328452,Zenzile,Phuthini,NULL,2024-04-29,Uitenhage,ArrowMobile
0776715116,Siyabonga,Hlatshwayo,1980-01-31,2024-01-01,East London,VMobile
0776745900,Nomvula,Mbhodwe,1987-08-12,2024-11-15,Durban,BlueMobile
0776874455,Bandile,Nkwanyana,NULL,2024-04-29,Pretoria,ArrowMobile
0777008770,Ashley,Bond,1945-10-11,2025-05-27,Ekurhuleni,VMobile
0777782468,Mathew,Scott,1983-02-22,2024-09-11,Benoni,BlueMobile
0777937454,Wanda,Santos,NULL,2024-09-18,Durban,ArrowMobile
0778478997,Marcus,Morris,1968-09-29,2024-10-01,Ekurhuleni,VMobile
0778724103,Anthony,Taylor,1949-12-28,2024-09-10,Johannesburg,BlueMobile
0779152086,Kart,Carter,1976-04-18,2025-01-13,Johannesburg,BlueMobile
0779234888,Zenzile,Sijadu,1994-10-06,2024-08-07,Durban,BlueMobile
0779545098,Bhekokwakhe,Mafobo,NULL,2024-04-16,Cape Town,ArrowMobile
0779961344,Langalibalele,Nyambose,1966-11-22,2024-05-31,Krugersdorp,VMobile
0780056550,Nqobizitha,Khuzwayo,1991-01-09,2024-03-11,Ekurhuleni,BlueMobile
0780348072,Amahle,Mbhobho,NULL,2024-01-15,Cape Town,ArrowMobile
0780470523,Dean,Stevens,1991-07-19,2023-08-16,Durban,VMobile
0781102199,Thandeka,Mzila,1951-03-28,2025-01-13,Johannesburg,BlueMobile
0781238778,Zenzile,Phuthini,NULL,2023-10-20,Bloemfontein,ArrowMobile
0781311807,Vincent,Read,1962-09-28,2025-03-12,Johannesburg,VMobile
0782499920,Zibuyile,Mathula,1962-02-15,2024-01-18,Ekurhuleni,BlueMobile
0782561720,Todd,Jones,1991-05-08,2024-05-01,Cape Town,VMobile
0782686315,Thando,Mahlalela,1957-08-21,2024-07-20,Polokwane,BlueMobile
0782940238,Nobantu,Mlondo,NULL,2025-03-26,Boksburg,ArrowMobile
0783253285,Jacqueline,Sutton,1944-06-13,2023-07-25,Pretoria,VMobile
0783581201,John,Taylor,1946-07-26,2024-12-19,Durban,BlueMobile
0784301965,Andile,Thumbela,NULL,2023-10-27,Soshanguve,ArrowMobile
0785690836,Bhekokwakhe,Mcwaye,1979-02-06,2024-05-28,Ekurhuleni,VMobile
0786671547,Khanyisile,Mthethwa,NULL,2023-12-27,Cape Town,ArrowMobile
0786674547,Mlungisi,Sokhela,1997-04-06,2025-03-10,Ekurhuleni,VMobile
0786740905,Ricky,Price,1996-05-08,2024-11-14,Paarl,BlueMobile
0787356407,Kathleen,Romero,NULL,2024-07-18,West Rand,ArrowMobile
0787961134,Londisizwe,Gcwabe,1980-11-04,2024-03-04,Cape Town,VMobile
0788255410,Londisizwe,Gotsholo,1943-01-02,2024-06-15,Polokwane,BlueMobile
0788451269,Amahle,Ndima,1966-07-11,2024-04-17,Ekurhuleni,VMobile
0788798367,Langalibalele,Khomo,1954-09-23,2023-09-21,Cape Town,BlueMobile
0789209708,Dant,Burton,1993-06-29,2024-02-05,Egoli,BlueMobile
0789600650,Sihawukele,Sothole,1957-09-30,2024-10-27,Ekurhuleni,BlueMobile
0789793342,Amy,Robinson,NULL,2023-10-25,Pietermaritzburg,ArrowMobile
0789810620,Thabisile,Cebekhulu,1964-03-23,2024-04-11,Ekurhuleni,VMobile
0790022877,Zibuyile,Ndlandla,NULL,2024-06-07,Vereeniging,ArrowMobile
0790250774,S'fiso,Ndawonde,1949-02-03,2025-06-08,East London,VMobile
0790328958,Lungile,Ntanzi,1964-05-28,2023-10-11,Johannesburg,BlueMobile
0790681902,Nhlanhla,Nhlane,NULL,2024-10-28,Johannesburg,ArrowMobile
0790732780,Matthew,Davis,1946-03-04,2024-06-26,Pretoria,VMobile
0790781178,Mary,Anderson,1965-10-10,2023-09-19,Durban,BlueMobile
